ds,cargo,forecast_kt
2035-07-01,Лесные грузы,860.5155473335483
2035-08-01,Лесные грузы,850.6363160537232
2035-09-01,Лесные грузы,812.4855236028836
2035-10-01,Лесные грузы,812.7394468611757
2035-11-01,Лесные грузы,773.3596356598802
2035-12-01,Лесные грузы,853.5213503133901
2036-01-01,Лесные грузы,801.6499073368828
2036-02-01,Лесные грузы,825.4954768184812
2036-03-01,Лесные грузы,990.5302227190227
2036-04-01,Лесные грузы,907.1471764918771
2036-05-01,Лесные грузы,874.2495817533866
2036-06-01,Лесные грузы,823.9097640055608
2036-07-01,Лесные грузы,828.9852021716442
2036-08-01,Лесные грузы,821.1469229094262
2036-09-01,Лесные грузы,779.7534157707739
2036-10-01,Лесные грузы,786.9198933500377
2036-11-01,Лесные грузы,737.7136358489047
2036-12-01,Лесные грузы,820.7471127681874
2026-01-01,Минерально-строит.,6247.125737953356
2026-02-01,Минерально-строит.,6596.185403341453
2026-03-01,Минерально-строит.,8271.688955400292
2026-04-01,Минерально-строит.,8417.408247109708
2026-05-01,Минерально-строит.,8861.548729334803
2026-06-01,Минерально-строит.,8718.898607843528
2026-07-01,Минерально-строит.,9353.085128372724
2026-08-01,Минерально-строит.,9394.593457546625
2026-09-01,Минерально-строит.,8821.198836505106
2026-10-01,Минерально-строит.,8216.192738475933
2026-11-01,Минерально-строит.,7224.229365782901
2026-12-01,Минерально-строит.,6542.189240950816
2027-01-01,Минерально-строит.,6087.486315781946
2027-02-01,Минерально-строит.,6379.437182229194
2027-03-01,Минерально-строит.,7970.984130795128
2027-04-01,Минерально-строит.,8071.0216356420915
2027-05-01,Минерально-строит.,8507.187352211035
2027-06-01,Минерально-строит.,8333.748364887992
2027-07-01,Минерально-строит.,8521.198383313036
2027-08-01,Минерально-строит.,8487.181775563271
2027-09-01,Минерально-строит.,8225.20247329292
2027-10-01,Минерально-строит.,7839.218137418399
2027-11-01,Минерально-строит.,6843.447901678836
2027-12-01,Минерально-строит.,6284.25771467788
2028-01-01,Минерально-строит.,5851.836458736273
2028-02-01,Минерально-строит.,6104.768108199219
2028-03-01,Минерально-строит.,7641.74644591027
2028-04-01,Минерально-строит.,7723.976235149404
2028-05-01,Минерально-строит.,8126.72193303052
2028-06-01,Минерально-строит.,7987.8939839880395
2028-07-01,Минерально-строит.,8073.938020720314
2028-08-01,Минерально-строит.,8042.229217936527
2028-09-01,Минерально-строит.,7808.693149498168
2028-10-01,Минерально-строит.,7452.411123866301
2028-11-01,Минерально-строит.,6500.708941432081
2028-12-01,Минерально-строит.,5962.702643048948
2029-01-01,Минерально-строит.,5540.645935625042
2029-02-01,Минерально-строит.,5757.4845294989345
2029-03-01,Минерально-строит.,7244.682380640554
2029-04-01,Минерально-строит.,7320.591154677545
2029-05-01,Минерально-строит.,7679.5989947921125
2029-06-01,Минерально-строит.,7539.910578508401
2029-07-01,Минерально-строит.,7623.891518907735
2029-08-01,Минерально-строит.,7584.199757978561
2029-09-01,Минерально-строит.,7334.538216716931
2029-10-01,Минерально-строит.,6998.370050997254
2029-11-01,Минерально-строит.,6105.911224500311
2029-12-01,Минерально-строит.,5604.900972601174
2030-01-01,Минерально-строит.,5210.125322513044
2030-02-01,Минерально-строит.,5377.555037984566
2030-03-01,Минерально-строит.,6798.865184129181
2030-04-01,Минерально-строит.,6834.994014878833
2030-05-01,Минерально-строит.,7182.293617455224
2030-06-01,Минерально-строит.,7017.341887094061
2030-07-01,Минерально-строит.,7106.361222807749
2030-08-01,Минерально-строит.,7060.4341946000895
2030-09-01,Минерально-строит.,6813.527091444502
2030-10-01,Минерально-строит.,6542.054956598813
2030-11-01,Минерально-строит.,5669.748485433173
2030-12-01,Минерально-строит.,5207.250546439245
2031-01-01,Минерально-строит.,4797.623479865242
2031-02-01,Минерально-строит.,4955.216323936604
2031-03-01,Минерально-строит.,6311.011463417543
2031-04-01,Минерально-строит.,6296.807291525906
2031-05-01,Минерально-строит.,6647.937644629926
2031-06-01,Минерально-строит.,6456.928491472465
2031-07-01,Минерально-строит.,6547.644283811146
2031-08-01,Минерально-строит.,6496.824832103102
2031-09-01,Минерально-строит.,6258.012988060174
2031-10-01,Минерально-строит.,6011.3395981624035
2031-11-01,Минерально-строит.,5212.640157757558
2031-12-01,Минерально-строит.,4778.138261690749
2032-01-01,Минерально-строит.,4339.954451516599
2032-02-01,Минерально-строит.,4481.069123369036
2032-03-01,Минерально-строит.,5790.050824792978
2032-04-01,Минерально-строит.,5759.241690904701
2032-05-01,Минерально-строит.,6077.634475657729
2032-06-01,Минерально-строит.,5846.984119151304
2032-07-01,Минерально-строит.,5958.202580530849
2032-08-01,Минерально-строит.,5895.610186187079
2032-09-01,Минерально-строит.,5664.542237854342
2032-10-01,Минерально-строит.,5460.428595547481
2032-11-01,Минерально-строит.,4729.115977215696
2032-12-01,Минерально-строит.,4329.693106013067
2033-01-01,Минерально-строит.,3904.2829519230418
2033-02-01,Минерально-строит.,4004.0227768562077
2033-03-01,Минерально-строит.,5244.063867891304
2033-04-01,Минерально-строит.,5193.184858470999
2033-05-01,Минерально-строит.,5480.914886890765
2033-06-01,Минерально-строит.,5217.880457626206
2033-07-01,Минерально-строит.,5332.64396339764
2033-08-01,Минерально-строит.,5267.104662359243
2033-09-01,Минерально-строит.,5045.8338335461285
2033-10-01,Минерально-строит.,4874.186398707453
2033-11-01,Минерально-строит.,4204.0791864729845
2033-12-01,Минерально-строит.,3865.042842435441
2034-01-01,Минерально-строит.,3486.088891164874
2034-02-01,Минерально-строит.,3631.2187282968816
2034-03-01,Минерально-строит.,4671.842198231848
2034-04-01,Минерально-строит.,4587.882605965446
2034-05-01,Минерально-строит.,4854.691373810699
2034-06-01,Минерально-строит.,4771.635903884305
2034-07-01,Минерально-строит.,4848.289589994228
2034-08-01,Минерально-строит.,4821.696357074107
2034-09-01,Минерально-строит.,4671.307228346254
2034-10-01,Минерально-строит.,4435.664647659278
2034-11-01,Минерально-строит.,3870.7126812152824
2034-12-01,Минерально-строит.,3540.4982569789645
2035-01-01,Минерально-строит.,3385.2466356913155
2035-02-01,Минерально-строит.,3524.540294760972
2035-03-01,Минерально-строит.,4362.3805143136915
2035-04-01,Минерально-строит.,4444.307615459733
2035-05-01,Минерально-строит.,4645.72135167238
2035-06-01,Минерально-строит.,4632.000147445072
2035-07-01,Минерально-строит.,4694.250957885294
2035-08-01,Минерально-строит.,4684.867248117709
2035-09-01,Минерально-строит.,4531.765662409948
2035-10-01,Минерально-строит.,4294.4817008532855
2035-11-01,Минерально-строит.,3763.647895838363
2035-12-01,Минерально-строит.,3434.3315767467197
2036-01-01,Минерально-строит.,3272.106628494144
2036-02-01,Минерально-строит.,3422.0292700043638
2036-03-01,Минерально-строит.,4234.620799321878
2036-04-01,Минерально-строит.,4303.123152782673
2036-05-01,Минерально-строит.,4505.74895140359
2036-06-01,Минерально-строит.,4490.4190859976625
2036-07-01,Минерально-строит.,4565.554109535203
2036-08-01,Минерально-строит.,4535.134107578875
2036-09-01,Минерально-строит.,4391.517345131924
2036-10-01,Минерально-строит.,4158.474476432657
2036-11-01,Минерально-строит.,3637.3508688740526
2036-12-01,Минерально-строит.,3328.6813175207285
2026-01-01,Нефтяные грузы,15147.768510167401
