cargo,split,model,RMSE,MAE,MAPE,status
Нефтяные грузы,2,SARIMA,768.6518753791473,608.1717346636106,3.0978896706899928,ok
Нефтяные грузы,2,ETS,628.5911866892371,559.7021824269827,2.8704356915221796,ok
Нефтяные грузы,3,GradBoost,1757.3835624639041,1273.8807311983196,7.542445190069865,ok
Нефтяные грузы,3,RandomForest,1731.2517972465328,1261.7392756220393,7.465600939837304,ok
Нефтяные грузы,3,Ridge,1030.1909867487052,866.9568046832529,4.907492577223625,ok
Нефтяные грузы,3,SARIMA,1476.7718270771538,1067.4272962988402,6.310557186054473,ok
Нефтяные грузы,3,ETS,1843.551657102976,1363.00252636008,8.0352453521692,ok
Нефтяные грузы,4,GradBoost,1277.0641151599107,1117.517680311804,6.071927382583856,ok
Нефтяные грузы,4,RandomForest,1076.7481702757154,840.4414957409625,4.532531828184022,ok
Нефтяные грузы,4,Ridge,2533.7548365208077,2244.502177724402,12.371964107339096,ok
Нефтяные грузы,4,SARIMA,2566.4693696677173,2391.7823684910823,13.229138822510835,ok
Нефтяные грузы,4,ETS,1327.06958971992,1202.9900237954876,6.648317029231665,ok
Нефтяные грузы,5,GradBoost,,,,skip
Нефтяные грузы,5,RandomForest,,,,skip
Нефтяные грузы,5,Ridge,,,,skip
Нефтяные грузы,5,SARIMA,,,,skip
Нефтяные грузы,5,ETS,,,,skip
Руды всякие,1,GradBoost,286.54092769399136,219.17488435997575,2.013842161288351,ok
Руды всякие,1,RandomForest,315.4181154772861,233.1017858071156,2.1714719015907056,ok
Руды всякие,1,Ridge,366.4001513519131,313.10382397143536,2.929977578790753,ok
Руды всякие,1,SARIMA,956.6513468932422,821.9875442330722,7.5322733849000265,ok
Руды всякие,1,ETS,307.96452510737987,241.91025282997703,2.2105233956017116,ok
Руды всякие,2,GradBoost,382.9372235927501,323.1518474152003,2.8537821864487483,ok
Руды всякие,2,RandomForest,430.3689172498628,363.1761188088212,3.2114604601331456,ok
Руды всякие,2,Ridge,522.3020822639252,440.77697728491995,3.945157203971135,ok
Руды всякие,2,SARIMA,394.0340335503671,320.0308665281197,2.886667012537986,ok
Руды всякие,2,ETS,476.7401741590284,377.96612006076595,3.3328494854334747,ok
Руды всякие,3,GradBoost,609.0457324952595,498.30695042482074,4.274837788075308,ok
Руды всякие,3,RandomForest,665.6433335247145,586.2201315784349,4.9972912252838935,ok
Руды всякие,3,Ridge,462.6489192502857,394.4606224953422,3.3607340437278412,ok
Руды всякие,3,SARIMA,330.35886853764214,249.58944167949457,2.1746473959582633,ok
Руды всякие,3,ETS,362.7619157278867,273.983641434394,2.393988025275599,ok
Руды всякие,4,GradBoost,560.613905051305,467.84399073924783,4.211033216894154,ok
Руды всякие,4,RandomForest,543.2325239734926,451.38408551908236,4.061054443893505,ok
Руды всякие,4,Ridge,691.0395450967345,548.1541567831514,4.96760311597112,ok
Руды всякие,4,SARIMA,857.2156687365016,695.2134717215996,6.268585167551703,ok
Руды всякие,4,ETS,490.43367656947595,395.4301528384087,3.550509526875345,ok
Руды всякие,5,GradBoost,368.83086500779,301.6053579480445,2.8599225356062306,ok
Руды всякие,5,RandomForest,600.6025072403407,517.6919897981109,4.9776738797107045,ok
Руды всякие,5,Ridge,1058.467311716083,943.8872272254545,9.041257863397902,ok
Руды всякие,5,SARIMA,474.9212918690172,396.140740052014,3.679357922804317,ok
Руды всякие,5,ETS,456.00693434294374,409.2050776067706,3.858641908735575,ok
Удобрения,1,GradBoost,336.95094208089677,283.6028372417805,6.315964639405296,ok
Удобрения,1,RandomForest,331.9209448160623,266.65616666171337,5.892841975461224,ok
Удобрения,1,Ridge,299.3331537025907,248.3338534321728,5.561918080062698,ok
Удобрения,1,SARIMA,379.04369693683145,342.3730244775554,7.7201282967455045,ok
Удобрения,1,ETS,460.0493864685273,418.3709979093341,9.438228469054266,ok
Удобрения,2,GradBoost,317.1398143909181,263.50810937168166,5.321269171534221,ok
Удобрения,2,RandomForest,356.6741750852724,304.6925290798135,6.143792212049192,ok
Удобрения,2,Ridge,245.2937711599572,214.1677326255158,4.356302642510953,ok
Удобрения,2,SARIMA,356.11122642976534,321.7681383535005,6.692192623252547,ok
Удобрения,2,ETS,156.24674472534997,129.4569576769828,2.651073454255108,ok
Удобрения,3,GradBoost,168.44755790625524,142.3279700313733,2.766549356742985,ok
Удобрения,3,RandomForest,177.1230054312938,143.68388531604128,2.7602302953834923,ok
Удобрения,3,Ridge,250.88427395810962,198.14600458559127,3.9127851617041554,ok
Удобрения,3,SARIMA,347.2190572371226,297.88984487278555,5.837075356355931,ok
Удобрения,3,ETS,193.37330142812087,147.7016128468382,2.889935684826351,ok
